"","Trial_Nr","Trial_Id","Exp_Subject_Id","OptionChosen","TargetWord","knowledge","StemType","Frequency","AffixInitialSegment","Stem_romanization","Affix_romanization","Word_romanization","Tensification","Nasalization","L_deletion","C_deletion","Lateralization","UR","JunctureType"
"1118",135,116,578085,"option_3","떫다",5,"lC","low","Obstruent","dvlp","ta","dvlpta",1,NA,0,1,NA,"lp-t","lC+Obstruent"
"1119",53,165,578085,"option_1","떫어",5,"lC","low","Vowel","dvlp","v","dvlpv",0,NA,0,0,NA,"lp-v","lC+Vowel"
"1120",102,107,578085,"option_2","막다",5,"C","high","Obstruent","mak","ta","makta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1121",156,120,578085,"option_1","막아",5,"C","high","Vowel","mak","a","maka",0,NA,NA,NA,NA,"k-a","C+Vowel"
"1122",162,161,578085,"option_1","막나",5,"C","high","Sonorant","mak","na","makna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1123",17,5,578085,"option_4","맑나",5,"lC","high","Sonorant","malk","na","malkna",NA,0,0,1,0,"lk-n","lC+Sonorant"
"1124",6,123,578085,"option_3","맑다",5,"lC","high","Obstruent","malk","ta","malkta",1,NA,0,1,NA,"lk-t","lC+Obstruent"
"1125",39,163,578085,"option_1","맑아",5,"lC","high","Vowel","malk","a","malka",0,NA,0,0,NA,"lk-a","lC+Vowel"
"1126",128,11,578085,"option_3","멁다",2,"lC","nonce","Obstruent","mvlk","ta","mvlkta",1,NA,0,1,NA,"lk-t","lC+Obstruent"
"1127",137,46,578085,"option_1","멁나",2,"lC","nonce","Sonorant","mvlk","na","mvlkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1128",109,176,578085,"option_1","멁어",2,"lC","nonce","Vowel","mvlk","v","mvlkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1129",16,146,578085,"option_1","묵나",2,"C","low","Sonorant","muk","na","mukna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1130",179,134,578085,"option_2","묵다",2,"C","low","Obstruent","muk","ta","mukta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1131",114,51,578085,"option_1","묵어",2,"C","low","Vowel","muk","v","mukv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1132",112,121,578085,"option_1","묽나",4,"lC","low","Sonorant","mulk","na","mulkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1133",119,26,578085,"option_1","묽어",4,"lC","low","Vowel","mulk","v","mulkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1134",84,34,578085,"option_3","묽다",4,"lC","low","Obstruent","mulk","ta","mulkta",1,NA,0,1,NA,"lk-t","lC+Obstruent"
"1135",131,101,578085,"option_2","박다",5,"C","high","Obstruent","pak","ta","pakta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1136",44,97,578085,"option_1","박아",5,"C","high","Vowel","pak","a","paka",0,NA,NA,NA,NA,"k-a","C+Vowel"
"1137",28,177,578085,"option_1","박나",5,"C","high","Sonorant","pak","na","pakna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1138",31,27,578085,"option_1","밝아",5,"lC","high","Vowel","palk","a","palka",0,NA,0,0,NA,"lk-a","lC+Vowel"
"1139",59,179,578085,"option_4","밝나",5,"lC","high","Sonorant","palk","na","palkna",NA,0,0,1,0,"lk-n","lC+Sonorant"
"1140",122,75,578085,"option_3","밝다",5,"lC","high","Obstruent","palk","ta","palkta",1,NA,0,1,NA,"lk-t","lC+Obstruent"
"1141",42,132,578085,"option_1","밟나",5,"lC","high","Sonorant","palp","na","palpna",NA,1,1,0,0,"lp-n","lC+Sonorant"
"1142",55,170,578085,"option_3","밟다",5,"lC","high","Obstruent","palp","ta","palpta",1,NA,0,1,NA,"lp-t","lC+Obstruent"
"1143",132,115,578085,"option_1","밟아",5,"lC","high","Vowel","palp","a","palpa",0,NA,0,0,NA,"lp-a","lC+Vowel"
"1144",13,17,578085,"option_2","뱉다",5,"C","low","Obstruent","peT","ta","peTta",1,NA,NA,NA,NA,"T-t","C+Obstruent"
"1145",70,104,578085,"option_1","뱉어",5,"C","low","Vowel","peT","v","peTv",0,NA,NA,NA,NA,"T-v","C+Vowel"
"1146",155,64,578085,"option_1","뱉나",5,"C","low","Sonorant","peT","na","peTna",NA,1,NA,NA,NA,"T-n","C+Sonorant"
"1147",148,20,578085,"option_1","법나",1,"C","nonce","Sonorant","kvp","na","kvpna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1148",157,119,578085,"option_2","법다",1,"C","nonce","Obstruent","kvp","ta","kvpta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1149",14,30,578085,"option_1","법어",1,"C","nonce","Vowel","kvp","v","kvpv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1150",168,10,578085,"option_1","붉어",5,"lC","high","Vowel","pulk","v","pulkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1151",78,31,578085,"option_2","붉다",5,"lC","high","Obstruent","pulk","ta","pulkta",1,NA,0,0,NA,"lk-t","lC+Obstruent"
"1152",158,58,578085,"option_1","붉나",5,"lC","high","Sonorant","pulk","na","pulkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1153",171,126,578085,"option_3","붍다",1,"lC","nonce","Obstruent","pulT","ta","pulTta",1,NA,0,1,NA,"lT-t","lC+Obstruent"
"1154",50,86,578085,"option_1","붍나",1,"lC","nonce","Sonorant","pulT","na","pulTna",NA,1,1,0,0,"lT-n","lC+Sonorant"
"1155",71,156,578085,"option_1","붍어",1,"lC","nonce","Vowel","pulT","v","pulTv",0,NA,0,0,NA,"lT-v","lC+Vowel"
"1156",120,158,578085,"option_2","뽑다",5,"C","high","Obstruent","p*op","ta","p*opta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1157",177,110,578085,"option_1","뽑아",5,"C","high","Vowel","p*op","a","p*opa",0,NA,NA,NA,NA,"p-a","C+Vowel"
"1158",153,117,578085,"option_1","뽑나",5,"C","high","Sonorant","p*op","na","p*opna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1159",170,82,578085,"option_1","속아",3,"C","low","Vowel","sok","a","soka",0,NA,NA,NA,NA,"k-a","C+Vowel"
"1160",125,45,578085,"option_2","속다",3,"C","low","Obstruent","sok","ta","sokta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1161",138,174,578085,"option_1","속나",3,"C","low","Sonorant","sok","na","sokna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1162",41,155,578085,"option_3","숡다",1,"lC","nonce","Obstruent","sulk","ta","sulkta",1,NA,0,1,NA,"lk-t","lC+Obstruent"
"1163",149,40,578085,"option_3","숡나",1,"lC","nonce","Sonorant","sulk","na","sulkna",NA,0,1,0,0,"lk-n","lC+Sonorant"
"1164",118,152,578085,"option_1","숡어",1,"lC","nonce","Vowel","sulk","v","sulkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1165",117,48,578085,"option_1","식어",5,"C","low","Vowel","sik","v","sikv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1166",60,98,578085,"option_2","식다",5,"C","low","Obstruent","sik","ta","sikta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1167",147,81,578085,"option_1","식나",5,"C","low","Sonorant","sik","na","sikna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1168",140,130,578085,"option_2","썩다",5,"C","high","Obstruent","s*vk","ta","s*vkta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1169",133,112,578085,"option_1","썩나",5,"C","high","Sonorant","s*vk","na","s*vkna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1170",110,118,578085,"option_1","썩어",5,"C","high","Vowel","s*vk","v","s*vkv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1171",57,88,578085,"option_1","씹어",5,"C","high","Vowel","s*ip","v","s*ipv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1172",12,149,578085,"option_2","씹다",5,"C","high","Obstruent","s*ip","ta","s*ipta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1173",37,144,578085,"option_1","씹나",5,"C","high","Sonorant","s*ip","na","s*ipna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1174",2,38,578085,"option_2","앍다",1,"lC","nonce","Obstruent","alk","ta","alkta",1,NA,0,0,NA,"lk-t","lC+Obstruent"
"1175",101,60,578085,"option_3","앍나",1,"lC","nonce","Sonorant","alk","na","alkna",NA,0,1,0,0,"lk-n","lC+Sonorant"
"1176",87,1,578085,"option_1","앍아",1,"lC","nonce","Vowel","alk","a","alka",0,NA,0,0,NA,"lk-a","lC+Vowel"
"1177",35,131,578085,"option_3","얇나",5,"lC","low","Sonorant","yalp","na","yalpna",NA,0,1,0,0,"lp-n","lC+Sonorant"
"1178",150,141,578085,"option_2","얇다",5,"lC","low","Obstruent","yalp","ta","yalpta",1,NA,0,0,NA,"lp-t","lC+Obstruent"
"1179",124,53,578085,"option_1","얇아",5,"lC","low","Vowel","yalp","a","yalpa",0,NA,0,0,NA,"lp-a","lC+Vowel"
"1180",77,128,578085,"option_1","얕아",5,"C","low","Vowel","yaT","a","yaTa",0,NA,NA,NA,NA,"T-a","C+Vowel"
"1181",3,114,578085,"option_1","얕나",5,"C","low","Sonorant","yaT","na","yaTna",NA,1,NA,NA,NA,"T-n","C+Sonorant"
"1182",40,49,578085,"option_3","얽나",1,"lC","low","Sonorant","vlk","na","vlkna",NA,0,1,0,0,"lk-n","lC+Sonorant"
"1183",67,73,578085,"option_2","얽다",1,"lC","low","Obstruent","vlk","ta","vlkta",1,NA,0,0,NA,"lk-t","lC+Obstruent"
"1184",82,7,578085,"option_1","얽어",1,"lC","low","Vowel","vlk","v","vlkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1185",81,59,578085,"option_2","업다",5,"C","low","Obstruent","vp","ta","vpta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1186",43,33,578085,"option_2","업나",5,"C","low","Sonorant","vp","na","vpna",NA,0,NA,NA,NA,"p-n","C+Sonorant"
"1187",72,93,578085,"option_1","업어",5,"C","low","Vowel","vp","v","vpv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1188",1,23,578085,"option_1","엎나",5,"C","low","Sonorant","vP","na","vPna",NA,1,NA,NA,NA,"P-n","C+Sonorant"
"1189",11,63,578085,"option_2","엎다",5,"C","low","Obstruent","vP","ta","vPta",1,NA,NA,NA,NA,"P-t","C+Obstruent"
"1190",61,79,578085,"option_1","엎어",5,"C","low","Vowel","vP","v","vPv",0,NA,NA,NA,NA,"P-v","C+Vowel"
"1191",33,85,578085,"option_1","엷어",2,"lC","low","Vowel","yvlp","v","yvlpv",0,NA,0,0,NA,"lp-v","lC+Vowel"
"1192",100,77,578085,"option_4","엷다",2,"lC","low","Obstruent","yvlp","ta","yvlpta",1,NA,1,0,NA,"lp-t","lC+Obstruent"
"1193",130,9,578085,"option_1","엷나",2,"lC","low","Sonorant","yvlp","na","yvlpna",NA,1,1,0,0,"lp-n","lC+Sonorant"
"1194",152,62,578085,"option_1","옅나",5,"C","low","Sonorant","yvT","na","yvTna",NA,1,NA,NA,NA,"T-n","C+Sonorant"
"1195",166,125,578085,"option_2","옅다",5,"C","low","Obstruent","yvT","ta","yvTta",1,NA,NA,NA,NA,"T-t","C+Obstruent"
"1196",142,67,578085,"option_1","옅어",5,"C","low","Vowel","yvT","v","yvTv",0,NA,NA,NA,NA,"T-v","C+Vowel"
"1197",75,24,578085,"option_2","웁다",1,"C","nonce","Obstruent","up","ta","upta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1198",99,43,578085,"option_1","웁나",1,"C","nonce","Sonorant","up","na","upna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1199",165,35,578085,"option_1","웁어",1,"C","nonce","Vowel","up","v","upv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1200",105,157,578085,"option_4","읊다",5,"lC","low","Obstruent","xlP","ta","xlPta",1,NA,1,0,NA,"lP-t","lC+Obstruent"
"1201",89,83,578085,"option_1","읊어",5,"lC","low","Vowel","xlP","v","xlPv",0,NA,0,0,NA,"lP-v","lC+Vowel"
"1202",68,69,578085,"option_3","읊나",5,"lC","low","Sonorant","xlP","na","xlPna",NA,0,1,0,0,"lP-n","lC+Sonorant"
"1203",92,113,578085,"option_1","익나",5,"C","low","Sonorant","ik","na","ikna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1204",48,70,578085,"option_1","익어",5,"C","low","Vowel","ik","v","ikv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1205",159,32,578085,"option_2","익다",5,"C","low","Obstruent","ik","ta","ikta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1206",26,106,578085,"option_1","읽어",5,"lC","high","Vowel","ilk","v","ilkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1207",106,143,578085,"option_1","읽나",5,"lC","high","Sonorant","ilk","na","ilkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1208",91,151,578085,"option_3","읽다",5,"lC","high","Obstruent","ilk","ta","ilkta",1,NA,0,1,NA,"lk-t","lC+Obstruent"
"1209",29,160,578085,"option_1","입나",5,"C","high","Sonorant","ip","na","ipna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1210",174,95,578085,"option_1","입어",5,"C","high","Vowel","ip","v","ipv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1211",69,66,578085,"option_2","입다",5,"C","high","Obstruent","ip","ta","ipta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1212",63,36,578085,"option_1","작아",5,"C","high","Vowel","cak","a","caka",0,NA,NA,NA,NA,"k-a","C+Vowel"
"1213",56,50,578085,"option_2","작다",5,"C","high","Obstruent","cak","ta","cakta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1214",173,136,578085,"option_1","작나",5,"C","high","Sonorant","cak","na","cakna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1215",9,74,578085,"option_1","적어",5,"C","high","Vowel","cvk","v","cvkv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1216",25,80,578085,"option_1","적나",5,"C","high","Sonorant","cvk","na","cvkna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1217",38,105,578085,"option_2","적다",5,"C","high","Obstruent","cvk","ta","cvkta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1218",73,47,578085,"option_2","접다",5,"C","high","Obstruent","cvp","ta","cvpta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1219",18,140,578085,"option_1","접나",5,"C","high","Sonorant","cvp","na","cvpna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1220",111,175,578085,"option_1","접어",5,"C","high","Vowel","cvp","v","cvpv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1221",32,71,578085,"option_1","직어",1,"C","nonce","Vowel","cik","v","cikv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1222",134,92,578085,"option_1","직나",1,"C","nonce","Sonorant","cik","na","cikna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1223",36,57,578085,"option_2","직다",1,"C","nonce","Obstruent","cik","ta","cikta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1224",85,108,578085,"option_1","짉어",3,"lC","nonce","Vowel","cilk","v","cilkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1225",51,56,578085,"option_1","짉나",3,"lC","nonce","Sonorant","cilk","na","cilkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1226",98,162,578085,"option_4","짉다",3,"lC","nonce","Obstruent","cilk","ta","cilkta",1,NA,1,0,NA,"lk-t","lC+Obstruent"
"1227",144,147,578085,"option_1","집어",5,"C","high","Vowel","cip","v","cipv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1228",141,100,578085,"option_2","집다",5,"C","high","Obstruent","cip","ta","cipta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1229",180,15,578085,"option_1","집나",5,"C","high","Sonorant","cip","na","cipna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1230",21,154,578085,"option_2","짧다",5,"lC","high","Obstruent","Jalp","ta","Jalpta",1,NA,0,0,NA,"lp-t","lC+Obstruent"
"1231",154,87,578085,"option_1","짧나",5,"lC","high","Sonorant","Jalp","na","Jalpna",NA,1,1,0,0,"lp-n","lC+Sonorant"
"1232",108,42,578085,"option_1","짧아",5,"lC","high","Vowel","Jalp","a","Jalpa",0,NA,0,0,NA,"lp-a","lC+Vowel"
"1233",107,153,578085,"option_2","찍다",5,"C","low","Obstruent","Jik","ta","Jikta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1234",116,111,578085,"option_1","찍어",5,"C","low","Vowel","Jik","v","Jikv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1235",163,41,578085,"option_1","찍나",5,"C","low","Sonorant","Jik","na","Jikna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1236",93,55,578085,"option_1","착아",1,"C","nonce","Vowel","Cak","a","Caka",0,NA,NA,NA,NA,"k-a","C+Vowel"
"1237",176,102,578085,"option_2","착다",1,"C","nonce","Obstruent","Cak","ta","Cakta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1238",22,133,578085,"option_1","착나",1,"C","nonce","Sonorant","Cak","na","Cakna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1239",97,28,578085,"option_1","톱아",2,"C","nonce","Vowel","Top","a","Topa",0,NA,NA,NA,NA,"p-a","C+Vowel"
"1240",79,12,578085,"option_1","톱나",2,"C","nonce","Sonorant","Top","na","Topna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1241",115,159,578085,"option_2","톱다",2,"C","nonce","Obstruent","Top","ta","Topta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1242",151,99,578085,"option_1","핥아",5,"lC","low","Vowel","halT","a","halTa",0,NA,0,0,NA,"lT-a","lC+Vowel"
"1243",45,122,578085,"option_3","핥다",5,"lC","low","Obstruent","halT","ta","halTta",1,NA,0,1,NA,"lT-t","lC+Obstruent"
"1244",94,21,578085,"option_4","핥나",5,"lC","low","Sonorant","halT","na","halTna",NA,0,0,1,0,"lT-n","lC+Sonorant"
"1245",178,16,578085,"option_4","훑나",5,"lC","low","Sonorant","hulT","na","hulTna",NA,0,0,1,0,"lT-n","lC+Sonorant"
"1246",136,145,578085,"option_1","훑어",5,"lC","low","Vowel","hulT","v","hulTv",0,NA,0,0,NA,"lT-v","lC+Vowel"
"1247",15,161,581952,"option_1","갉아",5,"lC","low","Vowel","kalk","a","kalka",0,NA,0,0,NA,"lk-a","lC+Vowel"
"1248",10,123,581952,"option_4","갉다",5,"lC","low","Obstruent","kalk","ta","kalkta",1,NA,1,0,NA,"lk-t","lC+Obstruent"
"1249",80,104,581952,"option_4","갉나",5,"lC","low","Sonorant","kalk","na","kalkna",NA,0,0,1,0,"lk-n","lC+Sonorant"
"1250",172,81,581952,"option_1","겊나",2,"C","nonce","Sonorant","kvP","na","kvPna",NA,1,NA,NA,NA,"P-n","C+Sonorant"
"1251",178,164,581952,"option_2","겊다",2,"C","nonce","Obstruent","kvP","ta","kvPta",1,NA,NA,NA,NA,"P-t","C+Obstruent"
"1252",163,174,581952,"option_1","겊어",2,"C","nonce","Vowel","kvP","v","kvPv",0,NA,NA,NA,NA,"P-v","C+Vowel"
"1253",9,47,581952,"option_4","겳어",3,"lC","nonce","Vowel","kjvlp","v","kjvlpv",0,NA,1,0,NA,"lp-v","lC+Vowel"
"1254",81,88,581952,"option_4","겳다",3,"lC","nonce","Obstruent","kjvlp","ta","kjvlpta",1,NA,1,0,NA,"lp-t","lC+Obstruent"
"1255",145,22,581952,"option_1","겳나",3,"lC","nonce","Sonorant","kjvlp","na","kjvlpna",NA,1,1,0,0,"lp-n","lC+Sonorant"
"1256",94,124,581952,"option_2","굵다",5,"lC","high","Obstruent","kulk","ta","kulkta",1,NA,0,0,NA,"lk-t","lC+Obstruent"
"1257",126,4,581952,"option_1","굵어",5,"lC","high","Vowel","kulk","v","kulkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1258",41,67,581952,"option_3","굵나",5,"lC","high","Sonorant","kulk","na","kulkna",NA,0,1,0,0,"lk-n","lC+Sonorant"
"1259",13,62,581952,"option_1","긁나",5,"lC","low","Sonorant","kxlk","na","kxlkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1260",43,64,581952,"option_4","긁다",5,"lC","low","Obstruent","kxlk","ta","kxlkta",1,NA,1,0,NA,"lk-t","lC+Obstruent"
"1261",83,14,581952,"option_1","긁어",5,"lC","low","Vowel","kxlk","v","kxlkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1262",117,52,581952,"option_1","긆어",2,"lC","nonce","Vowel","kxlP","v","kxlPv",0,NA,0,0,NA,"lP-v","lC+Vowel"
"1263",133,145,581952,"option_2","긆다",2,"lC","nonce","Obstruent","kxlP","ta","kxlPta",1,NA,0,0,NA,"lP-t","lC+Obstruent"
"1264",153,172,581952,"option_3","긆나",2,"lC","nonce","Sonorant","kxlP","na","kxlPna",NA,0,1,0,0,"lP-n","lC+Sonorant"
"1265",74,24,581952,"option_1","낡아",5,"lC","high","Vowel","nalk","a","nalka",0,NA,0,0,NA,"lk-a","lC+Vowel"
"1266",157,168,581952,"option_1","낡나",5,"lC","high","Sonorant","nalk","na","nalkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1267",59,150,581952,"option_2","낡다",5,"lC","high","Obstruent","nalk","ta","nalkta",1,NA,0,0,NA,"lk-t","lC+Obstruent"
"1268",167,155,581952,"option_3","낣나",2,"lC","nonce","Sonorant","nalp","na","nalpna",NA,0,1,0,0,"lp-n","lC+Sonorant"
"1269",63,84,581952,"option_2","낣다",2,"lC","nonce","Obstruent","nalp","ta","nalpta",1,NA,0,0,NA,"lp-t","lC+Obstruent"
"1270",110,113,581952,"option_1","낣아",2,"lC","nonce","Vowel","nalp","a","nalpa",0,NA,0,0,NA,"lp-a","lC+Vowel"
"1271",104,61,581952,"option_1","냍나",1,"C","nonce","Sonorant","neT","na","neTna",NA,1,NA,NA,NA,"T-n","C+Sonorant"
"1272",85,128,581952,"option_1","냍어",1,"C","nonce","Vowel","neT","v","neTv",0,NA,NA,NA,NA,"T-v","C+Vowel"
"1273",14,90,581952,"option_2","냍다",1,"C","nonce","Obstruent","neT","ta","neTta",1,NA,NA,NA,NA,"T-t","C+Obstruent"
"1274",89,29,581952,"option_3","넓나",5,"lC","high","Sonorant","nvlp","na","nvlpna",NA,0,1,0,0,"lp-n","lC+Sonorant"
"1275",40,98,581952,"option_1","넓다",5,"lC","high","Obstruent","nvlp","ta","nvlpta",0,NA,0,0,NA,"lp-t","lC+Obstruent"
"1276",101,132,581952,"option_1","넓어",5,"lC","high","Vowel","nvlp","v","nvlpv",0,NA,0,0,NA,"lp-v","lC+Vowel"
"1277",34,171,581952,"option_2","눅나",3,"C","nonce","Sonorant","nuk","na","nukna",NA,0,NA,NA,NA,"k-n","C+Sonorant"
"1278",109,45,581952,"option_2","눅다",3,"C","nonce","Obstruent","nuk","ta","nukta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1279",152,177,581952,"option_1","눅어",3,"C","nonce","Vowel","nuk","v","nukv",0,NA,NA,NA,NA,"k-v","C+Vowel"
"1280",56,140,581952,"option_1","늙어",5,"lC","high","Vowel","nxlk","v","nxlkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1281",168,38,581952,"option_2","늙다",5,"lC","high","Obstruent","nxlk","ta","nxlkta",1,NA,0,0,NA,"lk-t","lC+Obstruent"
"1282",79,41,581952,"option_1","늙나",5,"lC","high","Sonorant","nxlk","na","nxlkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1283",103,135,581952,"option_3","덟나",2,"lC","nonce","Sonorant","tvlp","na","tvlpna",NA,0,1,0,0,"lp-n","lC+Sonorant"
"1284",170,40,581952,"option_4","덟어",2,"lC","nonce","Vowel","tvlp","v","tvlpv",0,NA,1,0,NA,"lp-v","lC+Vowel"
"1285",115,53,581952,"option_4","덟다",2,"lC","nonce","Obstruent","tvlp","ta","tvlpta",1,NA,1,0,NA,"lp-t","lC+Obstruent"
"1286",96,86,581952,"option_1","독나",1,"C","nonce","Sonorant","tok","na","tokna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1287",113,156,581952,"option_1","독아",1,"C","nonce","Vowel","tok","a","toka",0,NA,NA,NA,NA,"k-a","C+Vowel"
"1288",65,18,581952,"option_2","독다",1,"C","nonce","Obstruent","tok","ta","tokta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1289",4,11,581952,"option_1","둡어",1,"C","nonce","Vowel","tup","v","tupv",0,NA,NA,NA,NA,"p-v","C+Vowel"
"1290",137,60,581952,"option_2","둡다",1,"C","nonce","Obstruent","tup","ta","tupta",1,NA,NA,NA,NA,"p-t","C+Obstruent"
"1291",44,108,581952,"option_1","둡나",1,"C","nonce","Sonorant","tup","na","tupna",NA,1,NA,NA,NA,"p-n","C+Sonorant"
"1292",36,8,581952,"option_2","듥다",1,"lC","nonce","Obstruent","txlk","ta","txlkta",1,NA,0,0,NA,"lk-t","lC+Obstruent"
"1293",58,48,581952,"option_1","듥어",1,"lC","nonce","Vowel","txlk","v","txlkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1294",92,10,581952,"option_1","듥나",1,"lC","nonce","Sonorant","txlk","na","txlkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1295",39,85,581952,"option_1","떫다",5,"lC","low","Obstruent","dvlp","ta","dvlpta",0,NA,0,0,NA,"lp-t","lC+Obstruent"
"1296",77,178,581952,"option_6","떫나",5,"lC","low","Sonorant","dvlp","na","dvlpna",NA,1,0,0,0,"lp-n","lC+Sonorant"
"1297",20,152,581952,"option_1","떫어",5,"lC","low","Vowel","dvlp","v","dvlpv",0,NA,0,0,NA,"lp-v","lC+Vowel"
"1298",37,34,581952,"option_1","막나",5,"C","high","Sonorant","mak","na","makna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1299",93,55,581952,"option_2","막다",5,"C","high","Obstruent","mak","ta","makta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1300",106,116,581952,"option_1","막아",5,"C","high","Vowel","mak","a","maka",0,NA,NA,NA,NA,"k-a","C+Vowel"
"1301",142,5,581952,"option_1","맑아",5,"lC","high","Vowel","malk","a","malka",0,NA,0,0,NA,"lk-a","lC+Vowel"
"1302",141,165,581952,"option_3","맑나",5,"lC","high","Sonorant","malk","na","malkna",NA,0,1,0,0,"lk-n","lC+Sonorant"
"1303",139,136,581952,"option_4","맑다",5,"lC","high","Obstruent","malk","ta","malkta",1,NA,1,0,NA,"lk-t","lC+Obstruent"
"1304",155,143,581952,"option_1","멁나",1,"lC","nonce","Sonorant","mvlk","na","mvlkna",NA,1,1,0,0,"lk-n","lC+Sonorant"
"1305",61,159,581952,"option_3","멁다",1,"lC","nonce","Obstruent","mvlk","ta","mvlkta",1,NA,0,1,NA,"lk-t","lC+Obstruent"
"1306",24,139,581952,"option_1","멁어",1,"lC","nonce","Vowel","mvlk","v","mvlkv",0,NA,0,0,NA,"lk-v","lC+Vowel"
"1307",57,25,581952,"option_1","묵나",3,"C","low","Sonorant","muk","na","mukna",NA,1,NA,NA,NA,"k-n","C+Sonorant"
"1308",95,167,581952,"option_2","묵다",3,"C","low","Obstruent","muk","ta","mukta",1,NA,NA,NA,NA,"k-t","C+Obstruent"
"1309",132,54,581952,"option_1","묵어",3,"C","low","Vowel","muk","v","mukv",0,NA,NA,NA,NA,"k-v","C+Vowel"
